source_row,dataset,gt_x,gt_y,gt_h,tag_id,camera_role,ok,reason,tag_x_m,tag_y_m,tag_yaw_deg,tag_room,tag_facing,camera_x_m,camera_y_m,camera_heading_deg,bearing_world_deg,pred_distance_m,pred_angle_deg,pred_yaw_deg,meas_distance_m,meas_angle_deg,meas_yaw_deg,meas_distance_residual_m,meas_distance_residual_cm,meas_angle_residual_deg,meas_yaw_residual_deg,true_distance_m,true_angle_deg,true_yaw_deg,true_distance_delta_m,true_distance_delta_cm,true_angle_delta_deg,true_yaw_delta_deg
49,624,3.0,4.0,90.0,38,front,True,,2.63,5.2,270.0,inner,down,3.0,4.055,90.0,107.9079328629878,1.2032975525612943,-17.90793286298782,-17.907932862987764,1.21,-18.5,-22.6,0.006702447438705628,0.6702447438705628,-0.5920671370121795,-4.692067137012231,1.203,-17.9,-17.9,-0.00029755256129426755,-0.029755256129426755,0.007932862987814815,0.007932862987757971
50,624,3.0,4.0,180.0,39,front,True,,1.67,5.2,270.0,inner,down,2.945,4.0,180.0,136.73570458892837,1.7508926294893128,43.26429541107163,-46.73570458892834,1.745,40.8,-54.5,-0.005892629489312684,-0.5892629489312684,-2.464295411071646,-7.764295411071657,1.751,43.3,-46.7,0.00010737051068709924,0.010737051068709924,0.03570458892835404,0.03570458892835404
51,624,3.0,4.0,180.0,40,front,True,,1.2,4.7,0.0,inner,right,2.945,4.0,180.0,158.14200210783767,1.880166216056442,21.85799789216233,21.85799789216233,1.847,19.5,-25.9,-0.0331662160564421,-3.31662160564421,-2.357997892162331,-47.75799789216234,1.845,19.0,19.0,-0.0351662160564421,-3.51662160564421,-2.857997892162331,-2.857997892162331
52,624,3.0,4.0,180.0,41,front,True,,1.2,3.7,0.0,inner,right,2.945,4.0,180.0,189.75491649581437,1.7706001807296867,-9.75491649581437,-9.75491649581437,1.778,-13.3,-14.8,0.0073998192703133014,0.7399819270313301,-3.5450835041856408,-5.045083504185641,1.79,-12.9,-12.9,0.019399819270313312,1.9399819270313312,-3.145083504185635,-3.145083504185635
53,624,3.0,4.0,180.0,42,front,True,,1.22,2.75,0.0,inner,right,2.945,4.0,180.0,215.92850242282282,2.1302875392772687,-35.92850242282282,-35.92850242282282,2.124,-29.8,-47.2,-0.00628753927726855,-0.628753927726855,6.128502422822805,-11.271497577177172,2.19,-38.0,-38.0,0.059712460722731286,5.971246072273129,-2.0714975771771833,-2.0714975771771833
54,624,3.0,4.0,270.0,38,rear,True,,2.63,5.2,270.0,inner,down,3.0,4.075,90.0,108.20546094659878,1.184282483193938,-18.205460946598777,-18.205460946598805,1.114,-13.8,-2.3,-0.07028248319393793,-7.028248319393793,4.405460946598765,15.905460946598794,1.203,-17.9,-17.9,0.01871751680606204,1.871751680606204,0.305460946598771,0.3054609465987994
55,624,3.0,4.0,270.0,45,front,True,,1.67,0.1,90.0,inner,up,3.0,3.945,270.0,250.91930409084915,4.068528603807524,19.080695909150847,19.080695909150847,4.153,14.3,-20.7,0.0844713961924759,8.44713961924759,-4.780695909150836,-39.780695909150836,4.069,19.1,19.1,0.00047139619247626996,0.047139619247626996,0.01930409084914686,0.01930409084914686
56,624,3.0,4.0,270.0,46,front,True,,2.62,0.1,90.0,inner,up,3.0,3.945,270.0,264.3558067832788,3.8637320041638494,5.644193216721192,5.644193216721192,3.83,-0.5,7.4,-0.03373200416384936,-3.373200416384936,-6.144193216721192,1.755806783278814,3.864,5.6,5.6,0.00026799583615044753,0.026799583615044753,-0.04419321672119736,-0.04419321672119736
57,624,3.0,4.0,270.0,47,front,True,,3.56,0.1,90.0,inner,up,3.0,3.945,270.0,278.28650536743925,3.885566239301551,-8.286505367439247,-8.286505367439247,3.843,-13.9,11.5,-0.0425662393015509,-4.25662393015509,-5.613494632560759,19.786505367439247,3.886,-8.3,-8.3,0.00043376069844924814,0.043376069844924814,-0.01349463256076433,-0.01349463256076433
58,624,3.0,4.0,270.0,48,front,True,,4.51,0.1,90.0,inner,up,3.0,3.945,270.0,291.4408204448448,4.130874604729608,-21.440820444844803,-21.440820444844803,4.049,-23.6,28.9,-0.08187460472960773,-8.187460472960773,-2.159179555155191,50.34082044484481,4.131,-21.4,-21.4,0.00012539527039212572,0.012539527039212572,0.04082044484479752,0.04082044484479752
59,624,4.0,3.0,0.0,33,front,True,,7.41,5.2,270.0,inner,down,4.055,3.0,0.0,33.25436657471205,4.011985169464115,-33.25436657471204,56.745633425287906,3.939,-28.2,57.1,-0.07298516946411482,-7.298516946411482,5.0543665747120485,0.3543665747120883,4.012,-33.3,56.7,1.4830535884691187e-05,0.0014830535884691187,-0.045633425287974205,-0.04563342528791736
60,624,4.0,3.0,0.0,34,front,True,,6.45,5.2,270.0,inner,down,4.055,3.0,0.0,42.56997232808507,3.2520801035644866,-42.56997232808507,47.4300276719149,3.196,-32.0,-57.7,-0.05608010356448645,-5.608010356448645,10.569972328085072,-105.1300276719149,3.252,-42.6,47.4,-8.010356448684419e-05,-0.00801035644868442,-0.030027671914922394,-0.030027671914893972
61,624,4.0,3.0,0.0,41,rear,True,,1.2,3.7,0.0,inner,right,3.925,3.0,180.0,165.59331484356312,2.8134720542418754,14.406685156436879,14.406685156436879,2.882,22.1,-2.3,0.06852794575812471,6.852794575812471,7.693314843563115,-16.70668515643689,2.81,12.3,12.3,-0.0034720542418753553,-0.3472054241875355,-2.1066851564368676,-2.1066851564368676
