sample_index,gt_x_m,gt_y_m,gt_heading_deg,preferred_heading_deg,tag_id,camera_role,used,meas_distance_m,true_distance_m,distance_error_m,meas_angle_deg,true_angle_deg,angle_error_deg,meas_yaw_deg,true_yaw_deg,yaw_error_deg,yaw_quant_true_angle_deg,yaw_quant_meas_yaw_deg,yaw_quant_true_yaw_deg,yaw_err_keep_deg,yaw_err_flip_deg,yaw_best_mode,yaw_best_err_deg,yaw_flip_gain_deg,yaw_branch_separation_deg,yaw_quantized_deg,yaw_decision
14,5.0,3.0,245.0,245.0,46,front,A,3.688,3.694,-0.006,15.6,14.5,1.1,35.6,39.5,-4.0,14.5,35.6,39.5,-4.0,-75.1,keep,-4.0,-71.1,71.1,39.5,accept_keep_quantized
14,5.0,3.0,245.0,245.0,47,front,A,3.2,3.175,0.024,0.8,1.2,-0.3,19.7,26.2,-6.5,1.2,19.7,26.2,-6.5,-45.8,keep,-6.5,-39.3,39.3,26.2,accept_keep_quantized
14,5.0,3.0,245.0,245.0,48,front,A,2.869,2.887,-0.017,-15.9,-15.9,0.0,9.2,9.1,0.1,-15.9,9.2,9.1,0.1,-18.3,keep,0.1,-18.2,18.2,9.1,accept_keep_quantized
14,5.0,3.0,245.0,245.0,49,front,A,2.871,2.891,-0.02,-28.1,-34.6,6.5,26.3,-9.6,36.0,-34.6,26.3,-9.6,36.0,-16.7,flip,-16.7,19.2,19.2,,reject_edge
14,5.0,3.0,245.0,245.0,34,rear,A,2.604,2.553,0.05,9.0,8.7,0.3,32.4,33.7,-1.3,8.7,32.4,33.7,-1.3,-66.1,keep,-1.3,-64.8,64.8,33.7,accept_keep_quantized
14,5.0,3.0,245.0,245.0,35,rear,A,2.206,2.173,0.033,-13.7,-12.8,-0.9,-2.3,12.2,-14.6,-12.8,-2.3,12.2,-14.6,-9.9,flip,-9.9,4.7,4.7,,reject_edge
15,5.0,4.0,245.0,245.0,43,front,A,4.335,4.363,-0.027,36.3,34.5,1.8,-40.8,-30.5,-10.3,34.5,-40.8,-30.5,-10.3,71.3,keep,-10.3,-61.0,61.0,,reject_edge
15,5.0,4.0,245.0,245.0,46,front,A,4.459,4.511,-0.052,6.4,6.4,0.0,28.8,31.4,-2.6,6.4,28.8,31.4,-2.6,-60.2,keep,-2.6,-57.5,57.5,31.4,accept_keep_quantized
15,5.0,4.0,245.0,245.0,47,front,A,4.083,4.097,-0.013,-5.7,-5.0,-0.7,13.6,20.0,-6.4,-5.0,13.6,20.0,-6.4,-33.5,keep,-6.4,-27.1,27.1,20.0,accept_keep_quantized
15,5.0,4.0,245.0,245.0,48,front,A,3.832,3.877,-0.046,-17.7,-18.2,0.5,-12.5,6.8,-19.3,-18.2,-12.5,6.8,-19.3,5.7,flip,5.7,13.5,13.5,,weak_small_true_yaw
15,5.0,4.0,245.0,245.0,49,front,A,3.817,3.88,-0.064,-26.8,-32.2,5.4,-28.1,-7.2,-21.0,-32.2,-28.1,-7.2,-21.0,35.3,keep,-21.0,-14.3,14.3,,reject_edge
15,5.0,4.0,245.0,245.0,35,rear,A,1.182,1.215,-0.032,-2.9,-2.7,-0.2,19.9,22.3,-2.4,-2.7,19.9,22.3,-2.4,-42.1,keep,-2.4,-39.7,39.7,22.3,accept_keep_quantized
