sample_uid,observation_uid,tag_id,camera_role,distance_residual_m_signed,distance_residual_sigma_signed,angle_residual_deg_signed,angle_residual_sigma_signed,distance_peer_median_sigma,distance_m2_signed,distance_m2_abs
main29_s024,main29_s024_o150,52,front,0.0010947446250733073,0.021894892501466146,-4.8407907712552,-1.1409853268866033,-0.07337506220020273,0.09526995470166888,0.09526995470166888
main29_s024,main29_s024_o151,32,rear,0.010917504774706543,0.21835009549413087,1.5634011401305656,0.36849718263370096,-0.13851639541521354,0.3568664909093444,0.3568664909093444
main29_s024,main29_s024_o152,58,rear,-0.025129495907448618,-0.5025899181489724,0.5713991012751762,0.1904663670917254,0.08703622571647696,-0.5896261438654493,0.5896261438654493
main29_s025,main29_s025_o154,53,front,0.012191037576531727,0.24382075153063454,-0.6028257306113574,-0.2009419102037858,0.009936715928937634,0.2338840356016969,0.2338840356016969
main29_s025,main29_s025_o155,55,front,-0.011265908135298375,-0.2253181627059675,1.4001331933767176,0.46671106445890587,0.22800067189085116,-0.45331883459681865,0.45331883459681865
main29_s025,main29_s025_o156,56,front,0.010609029612553389,0.21218059225106778,-0.7142938860083632,-0.23809796200278774,0.025756795568721014,0.18642379668234677,0.18642379668234677
main29_s025,main29_s025_o157,33,rear,0.01595197322008568,0.3190394644017136,-1.5662856349528056,-0.36917706458340205,0.009936715928937634,0.30910274847277597,0.30910274847277597
main29_s025,main29_s025_o158,34,rear,-0.009615358019659626,-0.1923071603931925,0.6880509320657211,0.2293503106885737,0.22800067189085116,-0.42030783228404367,0.42030783228404367
main29_s026,main29_s026_o159,31,front,0.016531700714336406,0.3306340142867281,-2.1237019814597886,-0.7079006604865962,0.5444139886499233,-0.21377997436319518,0.21377997436319518
main29_s026,main29_s026_o160,55,front,0.017631307019035702,0.35262614038071405,-0.32091328370214,-0.10697109456738,0.5444139886499233,-0.19178784826920925,0.19178784826920925
main29_s026,main29_s026_o161,56,front,0.027220699432496165,0.5444139886499233,1.8832148895008345,0.6277382965002781,0.35262614038071405,0.19178784826920925,0.19178784826920925
main29_s026,main29_s026_o162,52,rear,0.055268431013153596,1.105368620263072,0.5945091748819777,0.19816972496065924,0.35262614038071405,0.7527424798823579,0.7527424798823579
main29_s027,main29_s027_o163,31,front,0.008245710321169053,0.16491420642338106,0.21941000352200035,0.05171543378352358,-0.030624383546400402,0.19553858996978146,0.19553858996978146
main29_s027,main29_s027_o164,32,front,-0.026062819751821564,-0.5212563950364313,1.5028330037101796,0.5009443345700598,0.31246091718350577,-0.8337173122199371,0.8337173122199371
main29_s027,main29_s027_o165,33,front,0.023000381397181524,0.4600076279436305,-3.22507602629787,-0.7601577093457962,-0.1781710943065251,0.6381787222501556,0.6381787222501556
main29_s028,main29_s028_o169,53,front,-0.03954642978004941,-0.7909285956009882,0.2625814434437359,0.08752714781457864,-0.48396715494048337,-0.3069614406605048,0.3069614406605048
main29_s028,main29_s028_o170,54,front,-0.0037975417580673465,-0.07595083516134693,1.4077923955584595,0.46926413185281984,-0.6922828657891422,0.6163320306277953,0.6163320306277953
main29_s028,main29_s028_o171,55,front,-0.018714858695183523,-0.37429717390367045,-1.0750622705478747,-0.35835409018262493,-0.6922828657891422,0.31798569188547177,0.31798569188547177
main29_s028,main29_s028_o172,32,rear,-0.029681856798864814,-0.5936371359772963,-1.1518783304510976,-0.3839594434836992,-0.5826128847523293,-0.011024251224966974,0.011024251224966974
main29_s028,main29_s028_o173,33,rear,-0.060035303086799274,-0.9300629161587533,0.5486532908736876,0.18288443029122922,-0.48396715494048337,-0.4460957612182699,0.4460957612182699
main29_s029,main29_s029_o174,49,front,-0.0544955233449258,-0.911884520155079,-0.026147261968475277,-0.008715753989491759,0.4985817925264735,-1.4104663126815526,1.4104663126815526
main29_s029,main29_s029_o175,50,front,0.060111608636939984,1.2022321727387997,0.8892494687058843,0.2964164895686281,0.23359104772027628,0.9686411250185234,0.9686411250185234
main29_s029,main29_s029_o176,51,front,0.010133581234401667,0.20267162468803335,2.0844092479717915,0.6948030826572639,0.4985817925264735,-0.29591016783844015,0.29591016783844015
main29_s029,main29_s029_o177,53,front,0.01322552353762596,0.2645104707525192,-4.75378788346066,-1.1204785495724927,0.46766236949423057,-0.20315189874171136,0.20315189874171136
main29_s029,main29_s029_o178,58,rear,0.03663265571502139,0.7326531143004278,-1.0791700735091752,-0.25436282567730756,0.23359104772027628,0.4990620665801515,0.4990620665801515
repeat10_s001,repeat10_s001_o002,37,front,0.021739453399367115,0.4347890679873423,2.7071392529287266,0.9023797509762422,0.41737255797318795,0.01741651001415434,0.01741651001415434
repeat10_s001,repeat10_s001_o003,38,front,0.01601642920404167,0.3203285840808334,0.38303161624830295,0.12767720541610098,0.4347890679873423,-0.11446048390650887,0.11446048390650887
repeat10_s001,repeat10_s001_o004,39,front,0.020868627898659398,0.41737255797318795,-5.22466519091688,-1.231465395308878,0.4347890679873423,-0.01741651001415434,0.01741651001415434
repeat10_s001,repeat10_s001_o005,45,rear,0.05282272840781399,1.0564545681562798,-0.6662030887216304,-0.1570255738941627,0.41737255797318795,0.6390820101830919,0.6390820101830919
repeat10_s002,repeat10_s002_o006,45,front,0.02122981925433498,0.4245963850866996,-1.3880890428066834,-0.46269634760222783,0.4486830719976702,-0.0240866869109706,0.0240866869109706
repeat10_s002,repeat10_s002_o007,46,front,0.010264130020317008,0.20528260040634017,0.15394040505981366,0.05131346835327122,0.5583399643378499,-0.35305736393150977,0.35305736393150977
repeat10_s002,repeat10_s002_o008,47,front,0.007823576546067912,0.15647153092135824,1.0181104897669115,0.3393701632556372,0.5583399643378499,-0.4018684334164917,0.4018684334164917
repeat10_s002,repeat10_s002_o009,48,front,0.041359902567355,0.6920835435890003,0.2945546380570647,0.09818487935235491,0.3149394927465199,0.37714405084248037,0.37714405084248037
repeat10_s002,repeat10_s002_o010,39,rear,0.06813767185786346,1.3627534371572692,-0.09877808483307149,-0.0329260282776905,0.3149394927465199,1.0478139444107493,1.0478139444107493
repeat10_s003,repeat10_s003_o012,45,front,0.0199678641221106,0.399357282442212,-0.11588068274281227,-0.03862689424760409,-0.19631183309883532,0.5956691155410474,0.5956691155410474
repeat10_s003,repeat10_s003_o013,46,front,-0.016842799064117564,-0.3368559812823513,1.2244179623401976,0.4081393207800659,-0.1062430530915659,-0.23061292819078538,0.23061292819078538
