sample_uid,observation_uid,tag_id,camera_role,distance_use,distance_use_reason,distance_m2_signed,distance_m2_abs,angle_use,angle_use_reason,yaw_use,yaw_use_reason,yaw_mode,yaw_resolved_deg,predicted_yaw_deg
main29_s020,main29_s020_o126,49,front,True,kept_m2_abs_lt_0p95,-0.37979106972028037,0.37979106972028037,True,kept_no_second_screen,True,accept_flip,flip,29.69999999999999,28.394387255953575
main29_s020,main29_s020_o127,50,front,True,kept_m2_abs_lt_0p95,-0.6851640118037265,0.6851640118037265,True,kept_no_second_screen,True,accept_keep,keep,10.5,12.404581362274712
main29_s020,main29_s020_o128,51,front,True,kept_m2_abs_lt_0p95,0.758477751170421,0.758477751170421,True,kept_no_second_screen,False,reject_poor_keep_flip_match,keep,,-11.582350338107972
main29_s020,main29_s020_o129,32,rear,True,kept_m2_abs_lt_0p95,0.14744772226142383,0.14744772226142383,True,kept_no_second_screen,True,accept_keep,keep,29.69999999999999,32.00493176267787
main29_s020,main29_s020_o130,33,rear,True,kept_m2_abs_lt_0p95,-0.14744772226142383,0.14744772226142383,True,kept_no_second_screen,False,reject_ambiguous_low_separation,flip,,10.13438049257968
main29_s021,main29_s021_o132,51,front,True,kept_m2_abs_lt_0p95,-0.12250104436195564,0.12250104436195564,True,kept_no_second_screen,False,reject_small_predicted_yaw,flip,,-6.947443411216625
main29_s021,main29_s021_o133,53,front,False,rejected_m2_abs_ge_0p95,-1.1262297488084403,1.1262297488084403,True,kept_no_second_screen,True,accept_flip,flip,-31.599999999999994,-33.72919903378573
main29_s021,main29_s021_o134,55,front,True,kept_m2_abs_lt_0p95,0.12250104436195564,0.12250104436195564,True,kept_no_second_screen,True,accept_keep,keep,36.599999999999994,34.50975475191473
main29_s021,main29_s021_o136,34,rear,True,kept_m2_abs_lt_0p95,0.2918639773100562,0.2918639773100562,True,kept_no_second_screen,True,accept_keep,keep,-26.900000000000006,-26.806240051118493
main29_s022,main29_s022_o137,31,front,True,kept_m2_abs_lt_0p95,0.8039155639923035,0.8039155639923035,True,kept_no_second_screen,True,accept_keep,keep,31.80000000000001,32.97750038742117
main29_s022,main29_s022_o138,55,front,True,kept_m2_abs_lt_0p95,-0.6209054269955994,0.6209054269955994,True,kept_no_second_screen,True,accept_keep,keep,-24.400000000000006,-16.681401003110864
main29_s022,main29_s022_o139,56,front,True,kept_m2_abs_lt_0p95,-0.1830101369967041,0.1830101369967041,True,kept_no_second_screen,True,accept_keep,keep,-36.900000000000006,-36.89685818198541
main29_s022,main29_s022_o140,57,front,True,kept_m2_abs_lt_0p95,-0.7258446738378632,0.7258446738378632,True,kept_no_second_screen,True,accept_keep,keep,-48.69999999999999,-50.216100780373154
main29_s022,main29_s022_o141,51,rear,False,rejected_m2_abs_ge_0p95,1.107029500456369,1.107029500456369,True,kept_no_second_screen,True,accept_keep,keep,37.099999999999994,40.713583264617995
main29_s023,main29_s023_o142,32,front,True,kept_m2_abs_lt_0p95,0.17212220496506614,0.17212220496506614,True,kept_no_second_screen,False,reject_small_predicted_yaw,flip,,7.548193658028708
main29_s023,main29_s023_o143,33,front,True,kept_m2_abs_lt_0p95,-0.4775663483507886,0.4775663483507886,True,kept_no_second_screen,True,accept_flip,flip,-8.300000000000011,-9.90849909041549
main29_s023,main29_s023_o144,34,front,True,kept_m2_abs_lt_0p95,0.04130554304904166,0.04130554304904166,True,kept_no_second_screen,True,accept_flip,flip,-22.19999999999999,-25.832406130446543
main29_s023,main29_s023_o145,35,front,True,kept_m2_abs_lt_0p95,-0.2134277480141078,0.2134277480141078,True,kept_no_second_screen,True,accept_keep,keep,-39.19999999999999,-38.3547784587106
main29_s023,main29_s023_o146,52,rear,True,kept_m2_abs_lt_0p95,0.6453461750360301,0.6453461750360301,True,kept_no_second_screen,True,accept_keep,keep,-20.0,-18.224603429261663
main29_s024,main29_s024_o148,50,front,True,kept_m2_abs_lt_0p95,0.2906939543467013,0.2906939543467013,True,kept_no_second_screen,True,accept_keep,keep,25.69999999999999,30.968296636365466
main29_s024,main29_s024_o149,51,front,True,kept_m2_abs_lt_0p95,-0.3859639090483702,0.3859639090483702,True,kept_no_second_screen,False,reject_ambiguous_low_separation,keep,,11.165178618622093
main29_s024,main29_s024_o150,52,front,True,kept_m2_abs_lt_0p95,0.09526995470166888,0.09526995470166888,True,kept_no_second_screen,False,reject_poor_keep_flip_match,flip,,-12.01702420324861
main29_s024,main29_s024_o151,32,rear,True,kept_m2_abs_lt_0p95,0.3568664909093444,0.3568664909093444,True,kept_no_second_screen,False,reject_ambiguous_low_separation,flip,,8.887167708137213
main29_s024,main29_s024_o152,58,rear,True,kept_m2_abs_lt_0p95,-0.5896261438654493,0.5896261438654493,True,kept_no_second_screen,True,accept_keep,keep,-47.599999999999994,-47.60483433071818
main29_s025,main29_s025_o154,53,front,True,kept_m2_abs_lt_0p95,0.2338840356016969,0.2338840356016969,True,kept_no_second_screen,True,accept_flip,flip,-20.099999999999994,-22.18215508426755
main29_s025,main29_s025_o155,55,front,True,kept_m2_abs_lt_0p95,-0.45331883459681865,0.45331883459681865,True,kept_no_second_screen,True,accept_keep,keep,38.900000000000006,45.22080383972053
main29_s025,main29_s025_o156,56,front,True,kept_m2_abs_lt_0p95,0.18642379668234677,0.18642379668234677,True,kept_no_second_screen,True,accept_keep,keep,28.599999999999994,29.206376760335445
