combo_index,core_reject_threshold,core_support_threshold,yaw_support_threshold,yaw_bonus_weight,min_decision_score_gap,solver_success_rate,position_mean_error_m,position_median_error_m,position_p90_error_m,position_p95_error_m,position_max_error_m,heading_mean_abs_error_deg,heading_median_abs_error_deg,heading_p90_abs_error_deg,heading_p95_abs_error_deg,heading_max_abs_error_deg,position_within_5cm_rate,position_within_10cm_rate,heading_within_5deg_rate,heading_within_10deg_rate,joint_within_10cm_10deg_rate,samples_with_rejection,total_rejected_tags,combo_runtime_s
44,1.2,0.6,1.5,0.25,0.5,1.0,0.04238825410144487,0.035242534826912524,0.07407551106525607,0.10049423579621065,0.11427054170269618,1.1255837119205365,0.83746109187922,2.514922164745826,3.385801035393797,4.877939540716881,0.6923076923076923,0.9487179487179487,1.0,1.0,0.9487179487179487,8,8,0.4453770000000077
45,1.2,0.6,2.0,0.25,0.3,1.0,0.04167914239343926,0.035242534826912524,0.07200329330718738,0.10049423579621065,0.11427054170269618,1.1203120609895454,0.83746109187922,2.514922164745826,3.385801035393797,4.877939540716881,0.6923076923076923,0.9487179487179487,1.0,1.0,0.9487179487179487,7,7,0.44282190000012633
46,1.2,0.6,2.0,0.25,0.5,1.0,0.04167914239343926,0.035242534826912524,0.07200329330718738,0.10049423579621065,0.11427054170269618,1.1203120609895454,0.83746109187922,2.514922164745826,3.385801035393797,4.877939540716881,0.6923076923076923,0.9487179487179487,1.0,1.0,0.9487179487179487,7,7,0.4537476000004972
47,1.2,0.6,2.5,0.25,0.3,1.0,0.04167914239343926,0.035242534826912524,0.07200329330718738,0.10049423579621065,0.11427054170269618,1.1203120609895454,0.83746109187922,2.514922164745826,3.385801035393797,4.877939540716881,0.6923076923076923,0.9487179487179487,1.0,1.0,0.9487179487179487,7,7,0.4438984000007622
48,1.2,0.6,2.5,0.25,0.5,1.0,0.04205148223957594,0.038172571852276786,0.07200329330718738,0.10049423579621065,0.11427054170269618,1.1298523827034979,0.83746109187922,2.514922164745826,3.385801035393797,4.877939540716881,0.6923076923076923,0.9487179487179487,1.0,1.0,0.9487179487179487,6,6,0.4345257000022684
49,1.2,0.8,1.5,0.25,0.3,1.0,0.04167914239343926,0.035242534826912524,0.07200329330718738,0.10049423579621065,0.11427054170269618,1.1203120609895454,0.83746109187922,2.514922164745826,3.385801035393797,4.877939540716881,0.6923076923076923,0.9487179487179487,1.0,1.0,0.9487179487179487,7,7,0.4467934999993304
50,1.2,0.8,1.5,0.25,0.5,1.0,0.04167914239343926,0.035242534826912524,0.07200329330718738,0.10049423579621065,0.11427054170269618,1.1203120609895454,0.83746109187922,2.514922164745826,3.385801035393797,4.877939540716881,0.6923076923076923,0.9487179487179487,1.0,1.0,0.9487179487179487,7,7,0.44354179999936605
51,1.2,0.8,2.0,0.25,0.3,1.0,0.04167914239343926,0.035242534826912524,0.07200329330718738,0.10049423579621065,0.11427054170269618,1.1203120609895454,0.83746109187922,2.514922164745826,3.385801035393797,4.877939540716881,0.6923076923076923,0.9487179487179487,1.0,1.0,0.9487179487179487,7,7,0.4409736999987217
52,1.2,0.8,2.0,0.25,0.5,1.0,0.04167914239343926,0.035242534826912524,0.07200329330718738,0.10049423579621065,0.11427054170269618,1.1203120609895454,0.83746109187922,2.514922164745826,3.385801035393797,4.877939540716881,0.6923076923076923,0.9487179487179487,1.0,1.0,0.9487179487179487,7,7,0.4410013999986404
53,1.2,0.8,2.5,0.25,0.3,1.0,0.04167914239343926,0.035242534826912524,0.07200329330718738,0.10049423579621065,0.11427054170269618,1.1203120609895454,0.83746109187922,2.514922164745826,3.385801035393797,4.877939540716881,0.6923076923076923,0.9487179487179487,1.0,1.0,0.9487179487179487,7,7,0.4446879999995872
