stage,sample_uid,observation_uid,tag_id,camera_role,measured_distance_m,predicted_distance_m,distance_residual_m,normalized_distance_residual,measured_angle_deg,predicted_angle_deg,angle_residual_deg,normalized_angle_residual,yaw_used,measured_yaw_deg,predicted_yaw_deg,yaw_residual_deg,normalized_yaw_residual,combined_score
pass1,main29_s020,main29_s020_o129,32,rear,2.551,2.531964178601334,-0.01903582139866611,-0.29490167703365044,12.5,13.221585776940344,0.7215857769403442,0.17007939869409364,False,,,,,0.24072183218125848
pass1,main29_s020,main29_s020_o130,33,rear,2.203,2.1763705053916356,-0.02662949460836428,-0.5325898921672856,-10.6,-8.595844214919481,2.0041557850805134,0.4723840487282267,False,,,,,0.5033878637450612
pass1,main29_s021,main29_s021_o132,51,front,3.534,3.5681238401150157,0.0341238401150159,0.682476802300318,20.3,20.198403550130024,-0.10159644986998728,-0.03386548328999576,False,,,,,0.483177739882816
pass1,main29_s021,main29_s021_o133,53,front,4.676,4.654133730526255,-0.021866269473744815,-0.3658926719620917,-8.8,-6.593942583003695,2.206057416996316,0.7353524723321053,True,-31.6,-33.668117378918794,-2.0681173789187994,-0.6893724596395998,0.6191001787729377
pass1,main29_s021,main29_s021_o134,55,front,3.91,3.9461708828655175,0.036170882865517395,0.7234176573103479,-25.4,-28.34957032380089,-2.9495703238008844,-0.695220392515402,False,,,,,0.7094591253474937
pass1,main29_s021,main29_s021_o136,34,rear,1.192,1.2380326391184138,0.04603263911841382,0.9206527823682764,0.6,0.04242799703385458,-0.5575720029661397,-0.18585733432204657,True,-26.9,-27.031746798881272,-0.1317467988812666,-0.043915599627088873,0.5428545152845136
pass1,main29_s022,main29_s022_o137,31,front,3.462,3.514429497551849,0.05242949755184867,1.0485899510369734,-17.0,-16.881863680417666,0.11813631958233373,0.03937877319411124,True,31.8,33.11076689605022,1.310766896050211,0.43692229868340365,0.6562501221030451
pass1,main29_s022,main29_s022_o138,55,front,2.353,2.3622072456639702,0.00920724566397002,0.1841449132794004,24.9,23.41021612097495,-1.4897838790250546,-0.4965946263416849,True,-24.4,-16.597153302557217,7.802846697442789,2.600948899147596,1.532476291059148
pass1,main29_s022,main29_s022_o139,56,front,2.804,2.826081852507605,0.02208185250760497,0.4416370501520994,2.4,3.2364067188243553,0.8364067188243496,0.2788022396081165,True,-36.9,-36.770962704707756,0.1290372952922496,0.0430124317640832,0.30255800664985966
pass1,main29_s022,main29_s022_o140,57,front,3.528,3.528625969417526,0.0006259694175261288,0.012519388350522576,-11.1,-10.085132761804033,1.0148672381959614,0.33828907939865377,True,-48.7,-50.092502185336116,-1.3925021853361272,-0.4641673951120424,0.33168640159552254
pass1,main29_s022,main29_s022_o141,51,rear,0.654,0.7120566160503974,0.05805661605039736,1.1611323210079472,-9.1,-9.894479548892605,-0.7944795488926104,-0.2648265162975368,True,37.1,40.098151027575284,2.9981510275752896,0.9993836758584299,0.8976133321566139
pass1,main29_s023,main29_s023_o142,32,front,3.12,3.1536380791852086,0.03363807918520845,0.6727615837041689,30.0,28.543684074289473,-1.456315925710527,-0.34325695553995933,False,,,,,0.5340568724558757
pass1,main29_s023,main29_s023_o143,33,front,3.166,3.16587315821166,-0.000126841788339771,-0.00253683576679542,10.9,11.124805514261368,0.2248055142613623,0.0749351714204541,True,-8.3,-9.433528475535468,-1.1335284755354564,-0.3778428251784855,0.22240122600859621
pass1,main29_s023,main29_s023_o144,34,front,3.443,3.4572361982180744,0.014236198218074314,0.2847239643614863,-6.2,-4.841057978533456,1.3589420214665324,0.4529806738221775,True,-22.2,-25.399391968330292,-3.1993919683303034,-1.0664639894434345,0.688864928104613
pass1,main29_s023,main29_s023_o145,35,front,3.963,3.96315478497465,0.00015478497464993524,0.0030956994929987047,-17.3,-17.440477281971766,-0.14047728197175502,-0.04682576065725167,True,-39.2,-37.99881127176866,1.2011887282313296,0.40039624274377655,0.2327512165523626
pass1,main29_s023,main29_s023_o146,52,rear,1.712,1.7590110633908818,0.04701106339088179,0.9402212678176358,2.2,1.462737236432531,-0.7372627635674576,-0.24575425452248587,True,-20.0,-19.09559675336436,0.9044032466356384,0.30146774887854616,0.5874504205140502
pass1,main29_s024,main29_s024_o148,50,front,3.07,3.0757628701446196,0.005762870144619736,0.11525740289239472,11.0,11.006863631447914,0.006863631447913576,0.0022878771493045256,True,25.7,30.437594691324193,4.737594691324205,1.5791982304414016,0.9141765975150542
pass1,main29_s024,main29_s024_o149,51,front,2.559,2.5519922414874436,-0.007007758512556528,-0.14015517025113056,-9.8,-8.882397927882948,0.917602072117063,0.3058673573723543,False,,,,,0.23790577131930923
pass1,main29_s024,main29_s024_o150,52,front,2.7,2.7191623547569628,0.019162354756962596,0.3832470951392519,-27.1,-31.91530693903701,-4.815306939037015,-1.1349787300292369,False,,,,,0.8470699656909854
pass1,main29_s024,main29_s024_o151,32,rear,2.158,2.1600160872114915,0.0020160872114916017,0.040321744229832035,-12.6,-9.794413797420418,2.805586202579576,0.6612830096824778,False,,,,,0.46846614709733936
pass1,main29_s025,main29_s025_o154,53,front,4.219,4.221450363892416,0.0024503638924153748,0.049007277848307496,18.0,17.392219448317974,-0.6077805516820263,-0.2025935172273421,True,-20.1,-22.63836134201341,-2.538361342013417,-0.8461204473378056,0.5031122001793022
pass1,main29_s025,main29_s025_o155,55,front,3.229,3.221721273684348,-0.007278726315651962,-0.14557452631303924,-6.6,-5.3679796481989115,1.2320203518010828,0.4106734506003609,True,38.9,44.601439561469704,5.701439561469698,1.9004798538232326,1.1257098946186872
pass1,main29_s025,main29_s025_o156,56,front,2.586,2.610069744431123,0.024069744431123308,0.48139488862246615,-20.5,-21.474878946626177,-0.9748789466261769,-0.3249596488753923,True,28.6,28.49454026304244,-0.10545973695755606,-0.035153245652518685,0.33594422298399534
pass1,main29_s025,main29_s025_o157,33,rear,1.194,1.2174346421565605,0.023434642156560548,0.46869284313121096,13.7,14.250106957981899,0.5501069579819102,0.12966145345563732,False,,,,,0.34386412557480195
pass1,main29_s026,main29_s026_o159,31,front,3.1,3.1072479187518485,0.007247918751848381,0.14495837503696762,-23.9,-25.906462283775568,-2.006462283775562,-0.6688207612585207,True,24.0,18.26103958627732,-5.73896041372268,-1.9129868045742267,1.1730093287010261
pass1,main29_s026,main29_s026_o160,55,front,1.478,1.4835741579022161,0.005574157902216159,0.11148315804432318,18.5,18.475007846070355,-0.024992153929645156,-0.008330717976548385,True,-30.6,-27.357490283876814,3.2425097161231804,1.0808365720410602,0.6273504047051138
pass1,main29_s026,main29_s026_o161,56,front,2.134,2.1498807884473767,0.015880788447376837,0.31761576894753674,-8.4,-6.368545797603133,2.0314542023968727,0.6771514007989575,True,-51.0,-52.201043927550245,-1.201043927550245,-0.40034797585008164,0.4897932550425002
pass1,main29_s027,main29_s027_o163,31,front,2.158,2.1432294906290883,-0.014770509370911622,-0.29541018741823244,25.3,25.37786875065524,0.07786875065522736,0.018353840543611895,True,27.7,27.035820024168515,-0.6641799758314733,-0.15654872161291733,0.19331454897119896
pass1,main29_s027,main29_s027_o164,32,front,3.185,3.1617901656107716,-0.023209834389228412,-0.46419668778456824,-14.7,-13.18459900994327,1.515400990056719,0.5051336633522396,True,-15.5,-11.52664773643005,3.97335226356995,1.3244507545233166,0.86116362826879
pass1,main29_s027,main29_s027_o165,33,front,3.445,3.481670894370556,0.03667089437055626,0.7334178874111252,-25.7,-28.80867075245328,-3.1086707524532926,-0.7327207231786702,False,,,,,0.7330693881721128
pass1,main29_s028,main29_s028_o169,53,front,2.973,2.9231287396175603,-0.04987126038243961,-0.9974252076487922,10.9,10.599447708219827,-0.3005522917801784,-0.10018409726005946,True,-16.3,-13.085608700345347,3.2143912996546646,1.071463766551555,0.8471380252020907
pass1,main29_s028,main29_s028_o170,54,front,2.631,2.6420358260671897,0.011035826067189891,0.22071652134379782,-8.9,-8.206330684113482,0.6936693158865239,0.23122310529550796,True,54.9,58.108612907321344,3.2086129073213385,1.0695376357737796,0.6444870470777958
pass1,main29_s028,main29_s028_o171,55,front,1.785,1.8008281192707085,0.015828119270708596,0.3165623854141719,-21.6,-23.961425311373432,-2.361425311373438,-0.7871417704578126,True,40.9,42.353518280061394,1.4535182800613882,0.4845060933537961,0.5640774371057955
pass1,main29_s028,main29_s028_o172,32,rear,2.224,2.200036420801869,-0.023963579198131413,-0.47927158396262826,6.9,8.751083969492441,1.8510839694924357,0.6170279898308119,True,-15.6,-14.933972439072704,0.6660275609272901,0.22200918697576336,0.46893953786898745
pass1,main29_s029,main29_s029_o175,50,front,4.468,4.45986752903482,-0.00813247096517955,-0.162649419303591,11.0,11.909170991820474,0.9091709918204742,0.3030569972734914,True,29.5,34.02833597079115,4.528335970791147,1.509445323597049,0.8938164543359783
