sample_uid,observation_uid,tag_id,camera_role,raw_yaw_deg,predicted_yaw_deg,yaw_keep_deg,yaw_flip_deg,yaw_keep_error_deg,yaw_flip_error_deg,yaw_keep_abs_error_deg,yaw_flip_abs_error_deg,best_mode,best_yaw_deg,best_abs_error_deg,branch_separation_deg,accepted,decision
main29_s023,main29_s023_o144,34,front,22.2,-25.810215525550575,22.19999999999999,-22.19999999999999,48.010215525550564,3.6102155255505863,48.010215525550564,3.6102155255505863,flip,-22.19999999999999,3.6102155255505863,44.39999999999998,True,accept_flip
main29_s023,main29_s023_o145,35,front,-39.2,-38.33717512053903,-39.19999999999999,39.19999999999999,-0.862824879460959,77.53717512053902,0.862824879460959,77.53717512053902,keep,-39.19999999999999,0.862824879460959,76.67435024107806,True,accept_keep
main29_s023,main29_s023_o146,52,rear,-20.0,-18.27002465234756,-20.0,20.0,-1.7299753476524415,38.27002465234756,1.7299753476524415,38.27002465234756,keep,-20.0,1.7299753476524415,36.54004930469512,True,accept_keep
main29_s024,main29_s024_o148,50,front,25.7,31.27533764688667,25.69999999999999,-25.69999999999999,-5.57533764688668,-56.97533764688666,5.57533764688668,56.97533764688666,keep,25.69999999999999,5.57533764688668,51.39999999999998,True,accept_keep
main29_s025,main29_s025_o154,53,front,20.1,-22.38277422450085,20.099999999999994,-20.099999999999994,42.482774224500844,2.282774224500855,42.482774224500844,2.282774224500855,flip,-20.099999999999994,2.282774224500855,40.19999999999999,True,accept_flip
main29_s025,main29_s025_o155,55,front,38.9,44.96114011579732,38.900000000000006,-38.900000000000006,-6.061140115797315,-83.86114011579733,6.061140115797315,83.86114011579733,keep,38.900000000000006,6.061140115797315,77.80000000000001,True,accept_keep
main29_s025,main29_s025_o156,56,front,28.6,28.918627541964725,28.599999999999994,-28.599999999999994,-0.3186275419647302,-57.51862754196472,0.3186275419647302,57.51862754196472,keep,28.599999999999994,0.3186275419647302,57.19999999999999,True,accept_keep
main29_s025,main29_s025_o157,33,rear,-25.8,-26.705212116616963,-25.80000000000001,25.80000000000001,0.9052121166169513,52.505212116616974,0.9052121166169513,52.505212116616974,keep,-25.80000000000001,0.9052121166169513,51.60000000000002,True,accept_keep
main29_s026,main29_s026_o159,31,front,24.0,17.84091820494018,24.0,-24.0,6.159081795059819,-41.84091820494018,6.159081795059819,41.84091820494018,keep,24.0,6.159081795059819,35.68183640988036,True,accept_keep
main29_s026,main29_s026_o160,55,front,-30.6,-27.97159295885183,-30.599999999999994,30.599999999999994,-2.628407041148165,58.571592958851824,2.628407041148165,58.571592958851824,keep,-30.599999999999994,2.628407041148165,55.94318591770366,True,accept_keep
main29_s026,main29_s026_o161,56,front,-51.0,-52.768269603632234,-51.0,51.0,1.768269603632234,103.76826960363223,1.768269603632234,103.76826960363223,keep,-51.0,1.768269603632234,102.0,True,accept_keep
main29_s027,main29_s027_o163,31,front,27.7,27.887947807612363,27.69999999999999,-27.69999999999999,-0.18794780761237462,-55.58794780761235,0.18794780761237462,55.58794780761235,keep,27.69999999999999,0.18794780761237462,55.39999999999998,True,accept_keep
main29_s027,main29_s027_o164,32,front,-15.5,-10.816661450584206,-15.5,15.5,-4.683338549415794,26.316661450584206,4.683338549415794,26.316661450584206,keep,-15.5,4.683338549415794,21.633322901168412,True,accept_keep
main29_s027,main29_s027_o165,33,front,-34.6,-26.539360246160754,-34.599999999999994,34.599999999999994,-8.06063975383924,61.13936024616075,8.06063975383924,61.13936024616075,keep,-34.599999999999994,8.06063975383924,53.07872049232151,True,accept_keep
main29_s028,main29_s028_o169,53,front,-16.3,-11.97416237013033,-16.30000000000001,16.30000000000001,-4.325837629869682,28.27416237013034,4.325837629869682,28.27416237013034,keep,-16.30000000000001,4.325837629869682,23.94832474026066,True,accept_keep
main29_s028,main29_s028_o170,54,front,54.9,59.3818366978594,54.900000000000006,-54.900000000000006,-4.481836697859393,-114.2818366978594,4.481836697859393,114.2818366978594,keep,54.900000000000006,4.481836697859393,109.80000000000001,True,accept_keep
main29_s028,main29_s028_o171,55,front,40.9,44.12767267088509,40.900000000000006,-40.900000000000006,-3.2276726708850845,-85.0276726708851,3.2276726708850845,85.0276726708851,keep,40.900000000000006,3.2276726708850845,81.80000000000001,True,accept_keep
main29_s028,main29_s028_o172,32,rear,-15.6,-16.47417727429081,-15.599999999999994,15.599999999999994,0.8741772742908154,32.074177274290804,0.8741772742908154,32.074177274290804,keep,-15.599999999999994,0.8741772742908154,31.19999999999999,True,accept_keep
