stage,sample_uid,observation_uid,tag_id,camera_role,measured_distance_m,predicted_distance_m,distance_residual_m,normalized_distance_residual,measured_angle_deg,predicted_angle_deg,angle_residual_deg,normalized_angle_residual,yaw_used,measured_yaw_deg,predicted_yaw_deg,yaw_residual_deg,normalized_yaw_residual,combined_score,rejected_from_pass2
final,main29_s003,main29_s003_o014,44,front,2.361,2.351361177775978,-0.009638822224022014,-0.1927764444804403,10.4,12.056269536591117,1.656269536591111,0.5520898455303703,True,-68.5,-70.88611726078551,-2.386117260785511,-0.795372420261837,0.5699658592107193,False
final,main29_s003,main29_s003_o015,45,front,2.844,2.8477566437673723,0.003756643767372392,0.07513287534744784,-3.7,-0.7890033835435588,2.91099661645643,0.9703322054854766,False,,,,,0.6881822207672487,False
final,main29_s003,main29_s003_o016,46,front,2.897,2.902188823924012,0.005188823924012098,0.10377647848024196,-20.4,-19.798475596816388,0.6015244031836176,0.20050813439453918,True,-16.8,-12.740862394193016,4.0591376058069955,1.353045868602332,0.7919819425521387,False
final,main29_s003,main29_s003_o017,47,front,3.199,3.246737274390947,0.04773727439094699,0.9547454878189399,-29.8,-36.38104798844063,-6.581047988440616,-1.551167886646816,False,,,,,1.2879558919223466,False
final,main29_s003,main29_s003_o018,38,rear,2.221,2.2236853308407674,0.002685330840767275,0.0537066168153455,12.2,9.429506595834653,-2.770493404165336,-0.6530115577726372,False,,,,,0.46330794039946943,False
final,main29_s003,main29_s003_o019,39,rear,2.153,2.1579348006126096,0.004934800612609536,0.09869601225219071,-14.7,-15.905577549067175,-1.2055775490671863,-0.28415735339722176,False,,,,,0.21270437739289494,False
final,main29_s004,main29_s004_o020,45,front,3.823,3.856333062157399,0.03333306215739906,0.6666612431479813,24.0,23.80744337160604,-0.19255662839395882,-0.06418554279798627,False,,,,,0.4735805090055354,False
final,main29_s004,main29_s004_o021,46,front,3.914,3.8949344681463405,-0.019065531853659667,-0.38131063707319335,8.3,9.724236062588943,1.4242360625889319,0.47474535419631064,True,-8.2,-9.350341624635007,-1.1503416246350184,-0.38344720821167283,0.4154566623052562,False
final,main29_s004,main29_s004_o022,47,front,4.306,4.156363760487766,-0.14963623951223415,-2.992724790244683,-5.5,-3.3097103386390927,2.1902896613609073,0.7300965537869691,True,-16.1,-22.384288025863043,-6.284288025863049,-2.094762675287683,2.1507729861435942,True
final,main29_s004,main29_s004_o023,48,front,4.522,4.598890575145878,0.07689057514587816,1.286625412835415,-15.6,-14.23909820608094,1.360901793919055,0.4536339313063517,True,-35.2,-33.31367589330489,1.886324106695099,0.6287747022316997,0.867284329147199,False
final,main29_s004,main29_s004_o024,49,front,5.179,5.17512545309401,-0.003874546905990428,-0.06483357034346944,-22.2,-22.96981048009502,-0.7698104800950318,-0.2566034933650106,True,-43.9,-42.04438816731897,1.855611832681035,0.6185372775603449,0.38843150763996637,False
final,main29_s004,main29_s004_o025,39,rear,1.094,1.1604164961091854,0.06641649610918532,1.3283299221837064,7.0,5.075963706340701,-1.9240362936592987,-0.6413454312197663,True,-16.4,-13.998613980883192,2.4013860191168135,0.8004620063722712,0.9689382106134806,False
final,main29_s005,main29_s005_o026,35,front,3.973,3.981939335018842,0.008939335018842254,0.17878670037684508,14.3,14.055871110105784,-0.24412888989422754,-0.08137629663140918,True,34.8,38.17744034728207,3.377440347282061,1.1258134490940204,0.659808736944795,False
final,main29_s005,main29_s005_o027,36,front,3.067,3.0583909570382257,-0.008609042961774449,-0.17218085923548898,4.7,5.404449788136901,0.7044497881369125,0.2348165960456375,True,23.1,29.52601902531319,6.426019025313195,2.142006341771065,1.2480619976925549,False
final,main29_s005,main29_s005_o028,37,front,3.196,3.181005344625263,-0.01499465537473732,-0.2998931074947464,-14.5,-13.868035654000323,0.6319643459996769,0.2106547819998923,True,14.1,10.253533583176022,-3.846466416823972,-1.2821554722746573,0.7698991207048118,False
final,main29_s005,main29_s005_o029,38,front,3.118,3.155249651762959,0.037249651762959246,0.7449930352591849,-26.6,-31.345545968333624,-4.74554596833363,-1.1185359115470637,False,,,,,0.9502992181426632,False
final,main29_s005,main29_s005_o031,45,rear,2.254,2.2564264172541217,0.0024264172541217377,0.048528345082434754,9.9,11.108356127225306,1.2083561272253007,0.4027853757417669,False,,,,,0.28687197422184363,False
final,main29_s006,main29_s006_o033,45,front,3.113,3.120833541387212,0.00783354138721215,0.156670827744243,18.5,18.71405461964082,0.2140546196408195,0.07135153988027317,True,28.6,25.038160284708056,-3.5618397152919385,-1.1872799050973128,0.6926447775392609,False
final,main29_s006,main29_s006_o034,46,front,2.856,2.8516367838942602,-0.004363216105739642,-0.08726432211479285,-1.0,1.1270866137309667,2.1270866137309667,0.7090288712436555,False,,,,,0.5051420603014595,False
final,main29_s006,main29_s006_o035,47,front,2.909,2.8864690039877483,-0.022530996012251503,-0.45061992024503006,-18.3,-17.919851489403413,0.38014851059659804,0.12671617019886602,True,-16.3,-11.595745824336177,4.704254175663834,1.5680847252212782,0.944811269651916,False
final,main29_s006,main29_s006_o036,48,front,3.183,3.21172859085078,0.02872859085078039,0.5745718170156078,-28.7,-34.63530237135075,-5.935302371350758,-1.3989641850582393,False,,,,,1.0694001973032081,False
final,main29_s006,main29_s006_o037,37,rear,2.203,2.2141535588700805,0.011153558870080627,0.22307117740161253,8.8,9.019359215168578,0.21935921516856638,0.07311973838952213,False,,,,,0.16599284070328732,False
