group_key,mode,dataset,gt_x,gt_y,gt_h,tag_id,camera_role,kind,value,sigma,base_weight,enabled,weight_multiplier,state,reason,effective_weight
624_x2.000_y4.000_h90.0,distance_angle_yaw,624,2.0,4.0,90.0,39,front,yaw,-20.6,10.0,0.05,True,1.0,USED_NORMAL,,0.05
624_x2.000_y4.000_h180.0,distance_angle_yaw,624,2.0,4.0,180.0,40,front,distance,1.021,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x2.000_y4.000_h180.0,distance_angle_yaw,624,2.0,4.0,180.0,40,front,angle,40.2,3.0,0.5,True,1.0,USED_NORMAL,,0.5
624_x2.000_y4.000_h180.0,distance_angle_yaw,624,2.0,4.0,180.0,40,front,yaw,44.7,10.0,0.05,True,1.0,USED_NORMAL,,0.05
624_x2.000_y4.000_h180.0,distance_angle_yaw,624,2.0,4.0,180.0,41,front,distance,0.824,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x2.000_y4.000_h180.0,distance_angle_yaw,624,2.0,4.0,180.0,41,front,angle,-23.0,3.0,0.5,True,1.0,USED_NORMAL,,0.5
624_x2.000_y4.000_h180.0,distance_angle_yaw,624,2.0,4.0,180.0,41,front,yaw,-30.3,10.0,0.05,True,1.0,USED_NORMAL,,0.05
624_x2.000_y4.000_h270.0,distance_angle_yaw,624,2.0,4.0,270.0,39,rear,distance,1.12,0.05,0.5,True,1.0,USED_NORMAL,,0.5
624_x2.000_y4.000_h270.0,distance_angle_yaw,624,2.0,4.0,270.0,39,rear,angle,-16.8,3.0,0.2,True,1.0,USED_NORMAL,,0.2
624_x2.000_y4.000_h270.0,distance_angle_yaw,624,2.0,4.0,270.0,39,rear,yaw,-2.3,10.0,0.01,True,1.0,USED_NORMAL,,0.01
624_x2.000_y4.000_h270.0,distance_angle_yaw,624,2.0,4.0,270.0,42,front,distance,1.454,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x2.000_y4.000_h270.0,distance_angle_yaw,624,2.0,4.0,270.0,42,front,angle,30.9,3.0,0.5,True,1.0,USED_NORMAL,,0.5
624_x2.000_y4.000_h270.0,distance_angle_yaw,624,2.0,4.0,270.0,42,front,yaw,-59.9,10.0,0.05,True,1.0,USED_NORMAL,,0.05
624_x2.000_y4.000_h270.0,distance_angle_yaw,624,2.0,4.0,270.0,45,front,distance,3.801,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x2.000_y4.000_h270.0,distance_angle_yaw,624,2.0,4.0,270.0,45,front,angle,1.1,3.0,0.5,True,1.0,USED_NORMAL,,0.5
624_x2.000_y4.000_h270.0,distance_angle_yaw,624,2.0,4.0,270.0,45,front,yaw,-10.8,10.0,0.05,True,1.0,USED_NORMAL,,0.05
