group_key,dataset,gt_x,gt_y,gt_h,est_x,est_y,est_h,tag_id,camera_role,measured_distance_m,predicted_distance_m,distance_residual_m,distance_residual_cm,distance_weight,measured_angle_deg,predicted_angle_deg,angle_residual_deg,angle_weight
624_x5.000_y3.000_h180.0,624,5.0,3.0,180.0,4.956250000000001,2.959375,176.25,42,front,3.711,3.6875229795528823,0.023477020447117525,2.3477020447117525,1.0,-9.7,-7.060949015463677,-2.6390509845363113,0.5
624_x5.000_y3.000_h180.0,624,5.0,3.0,180.0,4.956250000000001,2.959375,176.25,44,front,4.279,4.316057481884342,-0.0370574818843421,-3.7057481884342103,1.0,-28.8,-35.21635036311869,6.416350363118681,0.5
624_x5.000_y3.000_h270.0,624,5.0,3.0,270.0,4.9375,3.0093750000000004,268.75,35,rear,2.161,2.1887240475022014,-0.027724047502201365,-2.7724047502201365,0.5,17.8,13.597756775839741,4.20224322416027,0.2
624_x5.000_y3.000_h270.0,624,5.0,3.0,270.0,4.9375,3.0093750000000004,268.75,36,rear,1.723,1.7030745372495917,0.019925462750408407,1.9925462750408407,0.5,-12.9,-14.80402344724223,1.9040234472422242,0.2
624_x5.000_y3.000_h270.0,624,5.0,3.0,270.0,4.9375,3.0093750000000004,268.75,46,front,3.674,3.6759730534687884,-0.0019730534687885104,-0.19730534687885104,1.0,37.8,37.8088970022323,-0.008897002232288287,0.5
624_x5.000_y3.000_h270.0,624,5.0,3.0,270.0,4.9375,3.0093750000000004,268.75,47,front,3.183,3.1688694433411455,0.01413055665885432,1.413055665885432,1.0,24.8,24.491968175816424,0.3080318241835869,0.5
624_x5.000_y3.000_h270.0,624,5.0,3.0,270.0,4.9375,3.0093750000000004,268.75,48,front,2.893,2.886046292842049,0.006953707157950628,0.6953707157950628,1.0,5.7,7.244286780928178,-1.5442867809281893,0.5
624_x5.000_y3.000_h270.0,624,5.0,3.0,270.0,4.9375,3.0093750000000004,268.75,49,front,2.873,2.9002446213276403,-0.02724462132764005,-2.724462132764005,1.0,-13.0,-11.452223124446732,-1.547776875553268,0.5
624_x5.000_y4.000_h0.0,624,5.0,4.0,0.0,4.8843749999999995,4.2281249999999995,357.1875,34,front,1.821,1.7977713960165331,0.023228603983466822,2.3228603983466822,1.0,-31.4,-35.63927978708762,4.239279787087611,0.5
624_x5.000_y4.000_h0.0,624,5.0,4.0,0.0,4.8843749999999995,4.2281249999999995,357.1875,40,rear,3.817,3.639704182153148,0.177295817846852,17.7295817846852,0.5,15.6,4.5782463421123225,11.021753657887672,0.2
624_x5.000_y4.000_h0.0,624,5.0,4.0,0.0,4.8843749999999995,4.2281249999999995,357.1875,55,front,5.773,5.732354357973526,0.04064564202647336,4.064564202647336,1.0,21.4,22.99335510713081,-1.5933551071308045,0.5
624_x5.000_y4.000_h0.0,624,5.0,4.0,0.0,4.8843749999999995,4.2281249999999995,357.1875,56,front,5.408,5.367459070960637,0.04054092903936368,4.054092903936368,1.0,10.4,13.14257544729594,-2.742575447295934,0.5
624_x5.000_y4.000_h0.0,624,5.0,4.0,0.0,4.8843749999999995,4.2281249999999995,357.1875,57,front,5.145,5.180747752158674,-0.03574775215867465,-3.574775215867465,1.0,-1.4,2.230735091836493,-3.630735091836499,0.5
624_x5.000_y4.000_h90.0,624,5.0,4.0,90.0,4.950000000000001,4.0375,91.875,35,front,1.276,1.2373779618157004,0.038622038184299656,3.8622038184299656,1.0,23.1,28.358662035359316,-5.258662035359322,0.5
624_x5.000_y4.000_h90.0,624,5.0,4.0,90.0,4.950000000000001,4.0375,91.875,36,front,0.814,0.7654554156627954,0.048544584337204544,4.854458433720454,1.0,-27.8,-30.352197496178746,2.552197496178735,0.5
624_x5.000_y4.000_h90.0,624,5.0,4.0,90.0,4.950000000000001,4.0375,91.875,48,rear,3.962,3.887799112285511,0.0742008877144893,7.420088771448929,0.5,12.1,8.40974789348968,3.6902521065103144,0.2
624_x5.000_y4.000_h90.0,624,5.0,4.0,90.0,4.950000000000001,4.0375,91.875,49,rear,3.893,3.8944535620302543,-0.001453562030254485,-0.1453562030254485,0.5,-2.7,-5.4650321633274075,2.765032163327419,0.2
624_x5.000_y4.000_h90.0,624,5.0,4.0,90.0,4.950000000000001,4.0375,91.875,50,rear,4.105,3.9475233777966543,0.15747662220334613,15.747662220334613,0.5,-18.3,-19.637073343407167,1.3370733434071553,0.2
